method_key,stage,score,valid,params,metrics,reason
set_zero_time,coarse,0.0,True,"{""_backup_samples"": 0, ""_detector"": ""manual"", ""_threshold"": 0.0, ""_zero_idx"": 0, ""new_zero_time"": 0.0}","{""first_break_sharpness"": 0.0, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.0}",零时前能量=0.0000，首波离散度=0.00，锐度=0.000；检测=manual，回退样本=0。
set_zero_time,fine,0.0,True,"{""_backup_samples"": 0, ""_detector"": ""manual"", ""_seed_rank"": 1, ""_threshold"": 0.05, ""_zero_idx"": 1, ""new_zero_time"": 0.01179327168374842}","{""first_break_sharpness"": 0.0, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.0}",零时前能量=0.0000，首波离散度=0.00，锐度=0.000；检测=manual，回退样本=1。
set_zero_time,fine,0.0,True,"{""_backup_samples"": 0, ""_detector"": ""manual"", ""_seed_rank"": 1, ""_threshold"": 0.05, ""_zero_idx"": 2, ""new_zero_time"": 0.02358654336749684}","{""first_break_sharpness"": 0.0, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.0}",零时前能量=0.0000，首波离散度=0.00，锐度=0.000；检测=manual，回退样本=2。
set_zero_time,fine,-2.962708534407854,True,"{""_backup_samples"": 6, ""_detector"": ""threshold"", ""_seed_rank"": 2, ""_threshold"": 0.02, ""_zero_idx"": 144, ""new_zero_time"": 1.6982311224597724}","{""first_break_sharpness"": 0.9429719185359481, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.5042177945852724}",零时前能量=0.5053，首波离散度=0.00，锐度=0.246；检测=threshold，回退样本=144。
set_zero_time,coarse,-2.9651844361933524,True,"{""_backup_samples"": 6, ""_detector"": ""threshold"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.02, ""_zero_idx"": 143, ""new_zero_time"": 1.686437850776024}","{""first_break_sharpness"": 0.9388877090508859, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.5041449122703928}",零时前能量=0.5052，首波离散度=0.00，锐度=0.245；检测=threshold，回退样本=143。
set_zero_time,fine,-2.9674583445699185,True,"{""_backup_samples"": 6, ""_detector"": ""threshold"", ""_seed_rank"": 2, ""_threshold"": 0.02, ""_zero_idx"": 139, ""new_zero_time"": 1.6392647640410303}","{""first_break_sharpness"": 0.8117288747684017, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.4918471320768357}",零时前能量=0.4929，首波离散度=0.00，锐度=0.212；检测=threshold，回退样本=139。
set_zero_time,coarse,-2.9686719134147896,True,"{""_backup_samples"": 4, ""_detector"": ""threshold"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.02, ""_zero_idx"": 145, ""new_zero_time"": 1.710024394143521}","{""first_break_sharpness"": 0.9355938482510926, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.50432889990549}",零时前能量=0.5054，首波离散度=0.00，锐度=0.244；检测=threshold，回退样本=145。
set_zero_time,fine,-2.9713830423712255,True,"{""_backup_samples"": 6, ""_detector"": ""threshold"", ""_seed_rank"": 2, ""_threshold"": 0.02, ""_zero_idx"": 142, ""new_zero_time"": 1.6746445790922757}","{""first_break_sharpness"": 0.9233983735323472, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.5034616838419957}",零时前能量=0.5045，首波离散度=0.00，锐度=0.241；检测=threshold，回退样本=142。
set_zero_time,fine,-2.976665174946811,True,"{""_backup_samples"": 6, ""_detector"": ""threshold"", ""_seed_rank"": 2, ""_threshold"": 0.02, ""_zero_idx"": 141, ""new_zero_time"": 1.6628513074085272}","{""first_break_sharpness"": 0.8967259587525219, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.5015465445099249}",零时前能量=0.5026，首波离散度=0.00，锐度=0.234；检测=threshold，回退样本=141。
set_zero_time,coarse,-3.0236686343684998,True,"{""_backup_samples"": 2, ""_detector"": ""threshold"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.02, ""_zero_idx"": 147, ""new_zero_time"": 1.7336109375110178}","{""first_break_sharpness"": 0.8872378835947068, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.5072062582964506}",零时前能量=0.5082，首波离散度=0.00，锐度=0.232；检测=threshold，回退样本=147。
