method_key,stage,score,valid,params,metrics,reason
dewow,fine,-0.49852068635900104,True,"{""_low_energy_guard"": true, ""_seed_rank"": 1, ""window"": 11}","{""baseline_bias_after"": 7.122595623840905e-07, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": 0.998018428367822, ""low_freq_drop"": 9.334524042667815e-09, ""low_freq_energy_ratio_after"": 0.9999999906597739, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 1.5717839152002245e-09, ""peak_ratio"": 0.0177580451643707, ""peak_ratio_raw"": 0.0177580451643707, ""target_band_energy_ratio"": 0.04932338903914043, ""target_band_fidelity"": 1.2697774543910683e-08, ""target_band_keep"": 0.04932338903914043}",基线改善=0.982，低频改善=-0.000，目标频带保真=0.000，峰值保真=0.000。
dewow,fine,-0.5047858921547894,True,"{""_low_energy_guard"": true, ""_seed_rank"": 1, ""window"": 14}","{""baseline_bias_after"": 9.678501275616285e-07, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": 0.9973073519005395, ""low_freq_drop"": 6.25418661307733e-09, ""low_freq_energy_ratio_after"": 0.9999999937401113, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 6.602620311104697e-09, ""peak_ratio"": 0.023623463234616778, ""peak_ratio_raw"": 0.023623463234616778, ""target_band_energy_ratio"": 0.060670181875832986, ""target_band_fidelity"": 4.436269299454133e-08, ""target_band_keep"": 0.060670181875832986}",基线改善=0.975，低频改善=-0.000，目标频带保真=0.000，峰值保真=0.000。
dewow,coarse,-0.5121307844654271,True,"{""window"": 16}","{""baseline_bias_after"": 1.3006970524580686e-06, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": 0.9963813411327449, ""low_freq_drop"": 3.310193785762695e-09, ""low_freq_energy_ratio_after"": 0.9999999966841041, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 2.3060877502547008e-08, ""peak_ratio"": 0.030293628848697997, ""peak_ratio_raw"": 0.030293628848697997, ""target_band_energy_ratio"": 0.07291819343572978, ""target_band_fidelity"": 1.3474641477437743e-07, ""target_band_keep"": 0.07291819343572978}",基线改善=0.968，低频改善=-0.000，目标频带保真=0.000，峰值保真=0.000。
dewow,fine,-0.5121307844654271,True,"{""_low_energy_guard"": true, ""_seed_rank"": 1, ""window"": 16}","{""baseline_bias_after"": 1.3006970524580686e-06, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": 0.9963813411327449, ""low_freq_drop"": 3.310193785762695e-09, ""low_freq_energy_ratio_after"": 0.9999999966841041, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 2.3060877502547008e-08, ""peak_ratio"": 0.030293628848697997, ""peak_ratio_raw"": 0.030293628848697997, ""target_band_energy_ratio"": 0.07291819343572978, ""target_band_fidelity"": 1.3474641477437743e-07, ""target_band_keep"": 0.07291819343572978}",基线改善=0.968，低频改善=-0.000，目标频带保真=0.000，峰值保真=0.000。
dewow,fine,-0.5204157772819324,True,"{""_low_energy_guard"": true, ""_seed_rank"": 1, ""window"": 18}","{""baseline_bias_after"": 1.6781669046378538e-06, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": 0.9953311852758291, ""low_freq_drop"": 2.4283679511821446e-09, ""low_freq_energy_ratio_after"": 0.9999999975659299, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 6.977236812720926e-08, ""peak_ratio"": 0.03775376874316411, ""peak_ratio_raw"": 0.03775376874316411, ""target_band_energy_ratio"": 0.08472085744548248, ""target_band_fidelity"": 3.3355334954192214e-07, ""target_band_keep"": 0.08472085744548248}",基线改善=0.961，低频改善=-0.000，目标频带保真=0.000，峰值保真=0.000。
dewow,fine,-0.5402628114623033,True,"{""_low_energy_guard"": true, ""_seed_rank"": 1, ""window"": 21}","{""baseline_bias_after"": 2.670061962470576e-06, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": 0.9925716419681622, ""low_freq_drop"": 1.1701318802859293e-09, ""low_freq_energy_ratio_after"": 0.999999998824166, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 4.6024353891840603e-07, ""peak_ratio"": 0.054938862394653155, ""peak_ratio_raw"": 0.054938862394653155, ""target_band_energy_ratio"": 0.12151133007839827, ""target_band_fidelity"": 2.9475828807733484e-06, ""target_band_keep"": 0.12151133007839827}",基线改善=0.942，低频改善=-0.000，目标频带保真=0.000，峰值保真=0.000。
dewow,coarse,-6.100412283971634,True,"{""window"": 1018}","{""baseline_bias_after"": 0.027049031602734402, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 1.4088537003767285e-09, ""low_freq_energy_ratio_after"": 0.9999999985854442, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9992851997016692, ""peak_ratio"": 1.0001421995871542, ""peak_ratio_raw"": 1.0001421995871542, ""target_band_energy_ratio"": 500.2434842194183, ""target_band_fidelity"": 4.92231387342877e-17, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.999。
dewow,fine,-6.100412283971634,True,"{""_low_energy_guard"": true, ""_seed_rank"": 2, ""window"": 1018}","{""baseline_bias_after"": 0.027049031602734402, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 1.4088537003767285e-09, ""low_freq_energy_ratio_after"": 0.9999999985854442, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9992851997016692, ""peak_ratio"": 1.0001421995871542, ""peak_ratio_raw"": 1.0001421995871542, ""target_band_energy_ratio"": 500.2434842194183, ""target_band_fidelity"": 4.92231387342877e-17, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.999。
dewow,coarse,-6.101353386199952,True,"{""window"": 392}","{""baseline_bias_after"": 3.4405348029186245, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 6.716877395601116e-05, ""low_freq_energy_ratio_after"": 0.9999328312203423, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9961208027564211, ""peak_ratio"": 0.999227416841569, ""peak_ratio_raw"": 0.999227416841569, ""target_band_energy_ratio"": 23397837.006930236, ""target_band_fidelity"": 3.000148732716943e-45, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=1.000。
dewow,coarse,-6.102516060138322,True,"{""window"": 891}","{""baseline_bias_after"": 0.1653646859066069, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 7.68185853821041e-08, ""low_freq_energy_ratio_after"": 0.9999999231757125, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9943606554288702, ""peak_ratio"": 0.9988760696864473, ""peak_ratio_raw"": 0.9988760696864473, ""target_band_energy_ratio"": 27187.44450197614, ""target_band_fidelity"": 1.616481105002495e-27, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.998。
dewow,fine,-6.103214941502968,True,"{""_low_energy_guard"": true, ""_seed_rank"": 2, ""window"": 865}","{""baseline_bias_after"": 0.18988725338434906, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 1.2100161028774255e-07, ""low_freq_energy_ratio_after"": 0.9999998789926876, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9932050478968232, ""peak_ratio"": 0.9986451251014707, ""peak_ratio_raw"": 0.9986451251014707, ""target_band_energy_ratio"": 42948.298701160944, ""target_band_fidelity"": 1.0204947784629595e-28, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.997。
dewow,coarse,-6.151695465947083,True,"{""window"": 128}","{""baseline_bias_after"": 0.00401676745788243, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 2.458015224707371e-08, ""low_freq_energy_ratio_after"": 0.9999999754141456, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.5905130047411986, ""peak_ratio"": 0.9005519748573139, ""peak_ratio_raw"": 0.9005519748573139, ""target_band_energy_ratio"": 7250.877603641808, ""target_band_fidelity"": 4.746920750337741e-24, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=-0.000，目标频带保真=0.253，峰值保真=0.625。
dewow,coarse,-6.164846661483278,True,"{""window"": 713}","{""baseline_bias_after"": 4.590101289739779, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 4.661393439002671e-05, ""low_freq_energy_ratio_after"": 0.9999533860599081, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9202849920282559, ""peak_ratio"": 0.9836167738425416, ""peak_ratio_raw"": 0.9836167738425416, ""target_band_energy_ratio"": 16407195.835795667, ""target_band_fidelity"": 2.561115761466919e-44, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.839。
dewow,fine,-6.164846661483278,True,"{""_low_energy_guard"": true, ""_seed_rank"": 2, ""window"": 713}","{""baseline_bias_after"": 4.590101289739779, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 4.661393439002671e-05, ""low_freq_energy_ratio_after"": 0.9999533860599081, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9202849920282559, ""peak_ratio"": 0.9836167738425416, ""peak_ratio_raw"": 0.9836167738425416, ""target_band_energy_ratio"": 16407195.835795667, ""target_band_fidelity"": 2.561115761466919e-44, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.839。
dewow,coarse,-6.179521939796538,True,"{""window"": 256}","{""baseline_bias_after"": 0.9407859289055185, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 1.667978371820496e-05, ""low_freq_energy_ratio_after"": 0.9999833202105798, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.8673214377401901, ""peak_ratio"": 1.0287099582526578, ""peak_ratio_raw"": 1.0287099582526578, ""target_band_energy_ratio"": 6660758.771978906, ""target_band_fidelity"": 5.94081663556611e-42, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.868。
dewow,coarse,-6.233124343696743,True,"{""window"": 570}","{""baseline_bias_after"": 10.115033142437081, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 0.0003701434925831316, ""low_freq_energy_ratio_after"": 0.9996298565017169, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.7147170880665968, ""peak_ratio"": 0.9353937280813478, ""peak_ratio_raw"": 0.9353937280813478, ""target_band_energy_ratio"": 125427364.33997288, ""target_band_fidelity"": 1.178649408846471e-49, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.915。
frequency_filter_1d,coarse,3.3842292150660453,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 2500.0, ""low_freq_mhz"": 5.0, ""taper_ratio"": 0.12}","{""edge_fidelity"": 0.9893594801148836, ""edge_preservation"": 0.9982309700785567, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.9999695404000156, ""local_saliency_preservation"": 0.9999949584323384, ""low_freq_drop"": -6.2598773223851246e-09, ""low_freq_energy_ratio_after"": 0.9999999999999886, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.9996635397959451, ""peak_ratio"": 0.999916930882146, ""target_band_energy_ratio"": 1.6540847053764242e-05, ""target_band_fidelity"": 9.008056525238682e-25}",低频残留改善=-0.000，目标频带保真=0.672，显著结构保真=1.000，边缘保真=0.997。
frequency_filter_1d,coarse,1.9327134638577819,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 2500.0, ""low_freq_mhz"": 150.0, ""taper_ratio"": 0.04}","{""edge_fidelity"": 0.9901837742313785, ""edge_preservation"": 0.9983685782050704, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.9992643393793214, ""local_saliency_preservation"": 1.0001218146832471, ""low_freq_drop"": -6.259876989318215e-09, ""low_freq_energy_ratio_after"": 0.9999999999999882, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.9973495609191173, ""peak_ratio"": 0.99934505836006, ""target_band_energy_ratio"": 1.6325996779175794e-05, ""target_band_fidelity"": 8.4348398483275e-25}",低频残留改善=0.000，目标频带保真=0.000，显著结构保真=1.000，边缘保真=0.996。
frequency_filter_1d,coarse,1.8695883019258421,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 2500.0, ""low_freq_mhz"": 300.0, ""taper_ratio"": 0.08}","{""edge_fidelity"": 0.9586874825265942, ""edge_preservation"": 1.00700751515151, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.9840345180231833, ""local_saliency_preservation"": 1.0026673907388244, ""low_freq_drop"": -6.259876989318215e-09, ""low_freq_energy_ratio_after"": 0.9999999999999882, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.9530677011385443, ""peak_ratio"": 0.9882037275836384, ""target_band_energy_ratio"": 1.6385828722336336e-05, ""target_band_fidelity"": 8.591446071031401e-25}",低频残留改善=0.000，目标频带保真=0.000，显著结构保真=1.000，边缘保真=0.967。
frequency_filter_1d,coarse,0.1205909918200051,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 40277.203200072814, ""low_freq_mhz"": 5.0, ""taper_ratio"": 0.04}","{""edge_fidelity"": 0.3642976858674236, ""edge_preservation"": 0.8460863807320589, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.3593537778793178, ""local_saliency_preservation"": 0.8441750437128133, ""low_freq_drop"": -3.65846966124732e-09, ""low_freq_energy_ratio_after"": 0.9999999973985809, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.45893740095119795, ""peak_ratio"": 0.8250883038453221, ""target_band_energy_ratio"": 1.0000093823430272, ""target_band_fidelity"": 0.9999528185206976}",低频残留改善=-0.000，目标频带保真=0.033，显著结构保真=0.366，边缘保真=0.367。
