branch,branch_invalid_reason,edge_preservation,global_energy_after,global_energy_before,global_energy_ratio,input_shape,local_saliency_preservation,method_key,output_shape,params,preview_png,roi_after,roi_after_energy,roi_before,roi_before_energy,roi_crop_png,roi_energy_ratio,roi_overlay_png,runtime_warnings,sanity_warnings,step_index,target_band_fidelity,zero_time_policy,zero_time_policy_notes,zero_time_shift_ns,zero_time_shift_samples
expert_manual,,1.0,18483.34775358647,18483.34775358647,1.0,"[2037, 90]",1.0,set_zero_time,"[2037, 90]",{'new_zero_time': 0.0},expert_manual_step_01_set_zero_time_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",977.6275159727811,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",977.6275159727811,expert_manual_step_01_set_zero_time_roi_crop.png,1.0,expert_manual_step_01_set_zero_time_roi_overlay.png,[],[],1,1.0,explicit_only_fixed_zero,['Zero-time uses explicit parameter for this validation run.'],0.0,0
expert_manual,zero-time/effective signal energy nearly disappeared,0.07633552588263959,73.15883709343139,18483.34775358647,0.003958094500453025,"[2037, 90]",0.07202283026201194,dewow,"[2037, 90]",{'window': 23},expert_manual_step_02_dewow_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",3.622544060588933,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",977.6275159727811,expert_manual_step_02_dewow_roi_crop.png,0.003705444048374955,expert_manual_step_02_dewow_roi_overlay.png,[],"['zero-time/effective signal energy nearly disappeared', 'target_band_fidelity is very low', 'local_saliency_preservation collapsed', 'edge_preservation collapsed']",2,0.14879986498285852,explicit_only_fixed_zero,[],0.0,0
expert_manual,zero-time/effective signal energy nearly disappeared,1.0085999940072288,72.69510498658005,73.15883709343139,0.9936612974553012,"[2037, 90]",1.0026541630714085,frequency_filter_1d,"[2037, 90]","{'filter_type': 'bandpass', 'low_freq_mhz': 300.0, 'high_freq_mhz': 2500.0, 'taper_ratio': 0.08}",expert_manual_step_03_frequency_filter_1d_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",3.5703281289158877,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",3.622544060588933,expert_manual_step_03_frequency_filter_1d_roi_crop.png,0.985585839454343,expert_manual_step_03_frequency_filter_1d_roi_overlay.png,[],['target_band_fidelity is very low'],3,4.778909103360691e-05,explicit_only_fixed_zero,[],0.0,0
expert_manual,zero-time/effective signal energy nearly disappeared,0.11166351418842443,0.06901686472570698,72.69510498658005,0.0009494018165108628,"[2037, 90]",0.06128834225893272,subtracting_average_2D,"[2037, 90]",{'ntraces': 41},expert_manual_step_04_subtracting_average_2D_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",1.2905457034601795,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",3.5703281289158877,expert_manual_step_04_subtracting_average_2D_roi_crop.png,0.361464172720743,expert_manual_step_04_subtracting_average_2D_roi_overlay.png,[],"['zero-time/effective signal energy nearly disappeared', 'local_saliency_preservation collapsed', 'edge_preservation collapsed']",4,0.8813893057780726,explicit_only_fixed_zero,[],0.0,0
expert_manual,zero-time/effective signal energy nearly disappeared,0.9227064115688086,0.027798585685056335,0.06901686472570698,0.402779607499355,"[2037, 90]",0.6814440204525853,energy_decay_gain,"[2037, 90]","{'strength': 0.8, 'smoothing_samples': 31, 'min_gain': 0.6, 'max_gain': 5.0, 'floor_ratio': 0.05}",expert_manual_step_05_energy_decay_gain_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.4645964894843294,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",1.2905457034601795,expert_manual_step_05_energy_decay_gain_roi_crop.png,0.3600000280801096,expert_manual_step_05_energy_decay_gain_roi_overlay.png,[],[],5,1259041.4768585183,explicit_only_fixed_zero,[],0.0,0
safe_default,,1.0,18483.34775358647,18483.34775358647,1.0,"[2037, 90]",1.0,set_zero_time,"[2037, 90]",{'new_zero_time': 0.0},safe_default_step_01_set_zero_time_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",977.6275159727811,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",977.6275159727811,safe_default_step_01_set_zero_time_roi_crop.png,1.0,safe_default_step_01_set_zero_time_roi_overlay.png,[],[],1,1.0,explicit_only_fixed_zero,['Zero-time missing in validation context; forced to fixed 0.0 ns to avoid implicit destructive defaults.'],0.0,0
safe_default,zero-time/effective signal energy nearly disappeared,0.07633552588263959,73.15883709343139,18483.34775358647,0.003958094500453025,"[2037, 90]",0.07202283026201194,dewow,"[2037, 90]",{},safe_default_step_02_dewow_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",3.622544060588933,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",977.6275159727811,safe_default_step_02_dewow_roi_crop.png,0.003705444048374955,safe_default_step_02_dewow_roi_overlay.png,[],"['zero-time/effective signal energy nearly disappeared', 'target_band_fidelity is very low', 'local_saliency_preservation collapsed', 'edge_preservation collapsed']",2,0.14879986498285852,explicit_only_fixed_zero,[],0.0,0
safe_default,zero-time/effective signal energy nearly disappeared,0.741183379980241,34.3640953999932,73.15883709343139,0.46971899452292687,"[2037, 90]",0.557206517480838,frequency_filter_1d,"[2037, 90]",{},safe_default_step_03_frequency_filter_1d_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",1.1921458474062936,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",3.622544060588933,safe_default_step_03_frequency_filter_1d_roi_crop.png,0.3290907791505181,safe_default_step_03_frequency_filter_1d_roi_overlay.png,[],['target_band_fidelity is very low'],3,1.55636946289319e-05,explicit_only_fixed_zero,[],0.0,0
safe_default,zero-time/effective signal energy nearly disappeared,0.113228746756702,0.04972400853330514,34.3640953999932,0.0014469756283273206,"[2037, 90]",0.006009463529077177,subtracting_average_2D,"[2037, 90]",{},safe_default_step_04_subtracting_average_2D_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.7863766246619338,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",1.1921458474062936,safe_default_step_04_subtracting_average_2D_roi_crop.png,0.6596312241264972,safe_default_step_04_subtracting_average_2D_roi_overlay.png,['global_background_fallback'],"['zero-time/effective signal energy nearly disappeared', 'local_saliency_preservation collapsed', 'edge_preservation collapsed']",4,0.8687892426235145,explicit_only_fixed_zero,[],0.0,0
safe_default,zero-time/effective signal energy nearly disappeared,1.3314302075680835,0.02493809828882781,0.04972400853330514,0.50153032759063,"[2037, 90]",0.6353430363400918,energy_decay_gain,"[2037, 90]",{},safe_default_step_05_energy_decay_gain_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.19659415616548345,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.7863766246619338,safe_default_step_05_energy_decay_gain_roi_crop.png,0.25,safe_default_step_05_energy_decay_gain_roi_overlay.png,[],[],5,27347314.94616155,explicit_only_fixed_zero,[],0.0,0
auto_tuned,,1.0,18483.34775358647,18483.34775358647,1.0,"[2037, 90]",1.0,set_zero_time,"[2037, 90]",{'new_zero_time': 0.0},auto_tuned_step_01_set_zero_time_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",977.6275159727811,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",977.6275159727811,auto_tuned_step_01_set_zero_time_roi_crop.png,1.0,auto_tuned_step_01_set_zero_time_roi_overlay.png,[],[],1,1.0,explicit_only_fixed_zero,['Zero-time uses explicit parameter for this validation run.'],0.0,0
auto_tuned,zero-time/effective signal energy nearly disappeared,0.027942710640888938,9.747391004700669,18483.34775358647,0.0005273606889103358,"[2037, 90]",0.026314034536658693,dewow,"[2037, 90]","{'window': 14, '_low_energy_guard': True}",auto_tuned_step_02_dewow_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.4837062228508899,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",977.6275159727811,auto_tuned_step_02_dewow_roi_crop.png,0.0004947755816483761,auto_tuned_step_02_dewow_roi_overlay.png,[],"['zero-time/effective signal energy nearly disappeared', 'target_band_fidelity is very low', 'local_saliency_preservation collapsed', 'edge_preservation collapsed']",2,0.060670181875832986,explicit_only_fixed_zero,[],0.0,0
auto_tuned,zero-time/effective signal energy nearly disappeared,0.9983685782050704,9.745972598669796,9.747391004700669,0.9998544835197246,"[2037, 90]",1.0001218146832471,frequency_filter_1d,"[2037, 90]","{'filter_type': 'bandpass', 'low_freq_mhz': 150.0, 'high_freq_mhz': 2500.0, 'taper_ratio': 0.04}",auto_tuned_step_03_frequency_filter_1d_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.48393747975361484,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.4837062228508899,auto_tuned_step_03_frequency_filter_1d_roi_crop.png,1.0004780937101905,auto_tuned_step_03_frequency_filter_1d_roi_overlay.png,[],['target_band_fidelity is very low'],3,1.6325996779175794e-05,explicit_only_fixed_zero,[],0.0,0
auto_tuned,zero-time/effective signal energy nearly disappeared,0.11353924189745189,0.009750608695112396,9.745972598669796,0.0010004756935642557,"[2037, 90]",0.06687446790221432,subtracting_average_2D,"[2037, 90]",{'ntraces': 57},auto_tuned_step_04_subtracting_average_2D_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.2686930133036476,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.48393747975361484,auto_tuned_step_04_subtracting_average_2D_roi_crop.png,0.5552225742888238,auto_tuned_step_04_subtracting_average_2D_roi_overlay.png,[],"['zero-time/effective signal energy nearly disappeared', 'local_saliency_preservation collapsed', 'edge_preservation collapsed']",4,0.8820061199262348,explicit_only_fixed_zero,[],0.0,0
auto_tuned,zero-time/effective signal energy nearly disappeared,1.3504776992288083,0.005451550134632451,0.009750608695112396,0.5590984424762223,"[2037, 90]",0.7827239854678445,energy_decay_gain,"[2037, 90]","{'strength': 1.2, 'smoothing_samples': 15, 'min_gain': 0.6, 'max_gain': 12.0, 'floor_ratio': 0.05}",auto_tuned_step_05_energy_decay_gain_roi_overlay.png,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.0970282012698143,"{'time_start_idx': 760, 'time_end_idx': 883, 'dist_start_idx': 38, 'dist_end_idx': 51}",0.2686930133036476,auto_tuned_step_05_energy_decay_gain_roi_crop.png,0.36111173892029563,auto_tuned_step_05_energy_decay_gain_roi_overlay.png,[],[],5,35968912.58785298,explicit_only_fixed_zero,[],0.0,0
