constraint_adjusted,effective_params,metrics,penalties,reason,requested_params,runtime_warning_count,score,stage,trial_label,valid
False,"{""ntraces"": 676, ""_seed_rank"": 1}","{""horizontal_coherence"": 2.2227666512440246e-07, ""local_saliency_preservation"": 0.3207774458117179, ""edge_preservation"": 0.3612873184361368, ""peak_ratio"": 0.14447708427906036}","{""edge_loss"": 1.0761380446915894, ""target_drop"": 1.138807289302349}",背景一致性=0.0000，显著结构保留=0.321，边缘保留=0.361。,"{""ntraces"": 676}",0,-1.246579493160544,subtracting_average_2D,,True
False,"{""ntraces"": 576, ""_seed_rank"": 1}","{""horizontal_coherence"": 1.2617883510277754e-07, ""local_saliency_preservation"": 0.32033741137267246, ""edge_preservation"": 0.36071572900268134, ""peak_ratio"": 0.1439807265996933}","{""edge_loss"": 1.077852812991956, ""target_drop"": 1.1400481835007668}",背景一致性=0.0000，显著结构保留=0.320，边缘保留=0.361。,"{""ntraces"": 576}",0,-1.2509402120690876,subtracting_average_2D,,True
False,"{""ntraces"": 501}","{""horizontal_coherence"": 7.526516699362957e-08, ""local_saliency_preservation"": 0.32013446539125495, ""edge_preservation"": 0.3603858919834062, ""peak_ratio"": 0.143604576587677}","{""edge_loss"": 1.0788423240497813, ""target_drop"": 1.1409885585308075}",背景一致性=0.0000，显著结构保留=0.320，边缘保留=0.360。,"{""ntraces"": 501}",0,-1.2535860779925951,subtracting_average_2D,,True
False,"{""ntraces"": 497, ""_seed_rank"": 1}","{""horizontal_coherence"": 7.52252417589666e-08, ""local_saliency_preservation"": 0.3201283495430076, ""edge_preservation"": 0.3603668928494624, ""peak_ratio"": 0.14356209337711334}","{""edge_loss"": 1.0788993214516127, ""target_drop"": 1.1410947665572166}",背景一致性=0.0000，显著结构保留=0.320，边缘保留=0.360。,"{""ntraces"": 497}",0,-1.2537801904914712,subtracting_average_2D,,True
False,"{""ntraces"": 426, ""_seed_rank"": 1}","{""horizontal_coherence"": 3.1719108472593347e-08, ""local_saliency_preservation"": 0.31980902820563467, ""edge_preservation"": 0.3599168365150613, ""peak_ratio"": 0.1432647854089737}","{""edge_loss"": 1.080249490454816, ""target_drop"": 1.1418380364775658}",背景一致性=0.0000，显著结构保留=0.320，边缘保留=0.360。,"{""ntraces"": 426}",0,-1.2569294039246324,subtracting_average_2D,,True
False,"{""ntraces"": 401}","{""horizontal_coherence"": 1.8926418637034426e-08, ""local_saliency_preservation"": 0.3196598172705461, ""edge_preservation"": 0.3596995188788436, ""peak_ratio"": 0.14296863973140717}","{""edge_loss"": 1.0809014433634692, ""target_drop"": 1.142578400671482}",背景一致性=0.0000，显著结构保留=0.320，边缘保留=0.360。,"{""ntraces"": 401}",0,-1.258822889242899,subtracting_average_2D,,True
False,"{""ntraces"": 351, ""_seed_rank"": 1}","{""horizontal_coherence"": 9.594339417087707e-09, ""local_saliency_preservation"": 0.3191514305731413, ""edge_preservation"": 0.35903134070850135, ""peak_ratio"": 0.1420833021402359}","{""edge_loss"": 1.0829059778744958, ""target_drop"": 1.1447917446494102}",背景一致性=0.0000，显著结构保留=0.319，边缘保留=0.359。,"{""ntraces"": 351}",0,-1.2646724776139913,subtracting_average_2D,,True
False,"{""ntraces"": 301}","{""horizontal_coherence"": 2.5393940268987578e-08, ""local_saliency_preservation"": 0.31858843024461936, ""edge_preservation"": 0.35832154108506425, ""peak_ratio"": 0.14159247279167175}","{""edge_loss"": 1.085035376744807, ""target_drop"": 1.1460188180208206}",背景一致性=0.0000，显著结构保留=0.319，边缘保留=0.358。,"{""ntraces"": 301}",0,-1.2698059715004515,subtracting_average_2D,,True
False,"{""ntraces"": 201}","{""horizontal_coherence"": 1.426354242762612e-08, ""local_saliency_preservation"": 0.31672133662955443, ""edge_preservation"": 0.356058990853256, ""peak_ratio"": 0.13976629078388214}","{""edge_loss"": 1.091823027440232, ""target_drop"": 1.1505842730402946}",背景一致性=0.0000，显著结构保留=0.317，边缘保留=0.356。,"{""ntraces"": 201}",0,-1.2869583030616178,subtracting_average_2D,,True
False,"{""ntraces"": 151}","{""horizontal_coherence"": 2.6860013152294266e-09, ""local_saliency_preservation"": 0.3155059251452881, ""edge_preservation"": 0.35452868461745607, ""peak_ratio"": 0.13838981091976166}","{""edge_loss"": 1.0964139461476317, ""target_drop"": 1.1540254727005959}",背景一致性=0.0000，显著结构保留=0.316，边缘保留=0.355。,"{""ntraces"": 151}",0,-1.2988239648384334,subtracting_average_2D,,True
