constraint_adjusted,effective_params,metrics,penalties,reason,requested_params,runtime_warning_count,score,stage,trial_label,valid
False,"{""window"": 26}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 2.9732396654465525e-05, ""baseline_drop"": 0.6862379386450818, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.0038805589714670185, ""low_freq_drop"": 0.365415193033479, ""target_band_energy_ratio"": 1.0031389058992854, ""target_band_keep"": 1.0031389058992854, ""target_band_fidelity"": 0.9812432955505529, ""peak_ratio"": 0.9649605395352364, ""peak_ratio_raw"": 0.9649605395352364, ""peak_fidelity"": 0.8357957920370199}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.681，低频改善=0.407，目标频带保真=0.981，峰值保真=1.000。,"{""window"": 26}",0,4.812115321622781,dewow,,True
False,"{""window"": 26, ""_low_energy_guard"": true, ""_seed_rank"": 1}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 2.9732396654465525e-05, ""baseline_drop"": 0.6862379386450818, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.0038805589714670185, ""low_freq_drop"": 0.365415193033479, ""target_band_energy_ratio"": 1.0031389058992854, ""target_band_keep"": 1.0031389058992854, ""target_band_fidelity"": 0.9812432955505529, ""peak_ratio"": 0.9649605395352364, ""peak_ratio_raw"": 0.9649605395352364, ""peak_fidelity"": 0.8357957920370199}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.681，低频改善=0.407，目标频带保真=0.981，峰值保真=1.000。,"{""window"": 26, ""_low_energy_guard"": true}",0,4.812115321622781,dewow,,True
False,"{""window"": 18, ""_low_energy_guard"": true, ""_seed_rank"": 1}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 1.7733847259871797e-05, ""baseline_drop"": 0.812857048267081, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.003700389243612785, ""low_freq_drop"": 0.3948782092670312, ""target_band_energy_ratio"": 0.9592831760580316, ""target_band_keep"": 0.9592831760580316, ""target_band_fidelity"": 0.7779056120220291, ""peak_ratio"": 0.9238476460383916, ""peak_ratio_raw"": 0.9238476460383916, ""peak_fidelity"": 0.6714409438233118}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.07283858426503231}",基线改善=0.820，低频改善=0.478，目标频带保真=0.779，峰值保真=0.825。,"{""window"": 18, ""_low_energy_guard"": true}",0,4.776368422976388,dewow,,True
False,"{""window"": 34, ""_low_energy_guard"": true, ""_seed_rank"": 1}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 5.895180308630372e-06, ""baseline_drop"": 0.9377889395466213, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.005845412593298416, ""low_freq_drop"": 0.044104200082384214, ""target_band_energy_ratio"": 1.0040857453853078, ""target_band_keep"": 1.0040857453853078, ""target_band_fidelity"": 0.9756661230943023, ""peak_ratio"": 0.9751750895598875, ""peak_ratio_raw"": 0.9751750895598875, ""peak_fidelity"": 0.8812467756862881}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.942，低频改善=0.078，目标频带保真=0.974，峰值保真=0.992。,"{""window"": 34, ""_low_energy_guard"": true}",0,4.523481235102657,dewow,,True
False,"{""window"": 32}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 3.033641832015816e-05, ""baseline_drop"": 0.679863777653849, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.0047401032263782224, ""low_freq_drop"": 0.22485458589089424, ""target_band_energy_ratio"": 1.0034779187353868, ""target_band_keep"": 1.0034779187353868, ""target_band_fidelity"": 0.9792421472096415, ""peak_ratio"": 0.9786446390361054, ""peak_ratio_raw"": 0.9786446390361054, ""peak_fidelity"": 0.8971276068729349}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.675，低频改善=0.254，目标频带保真=0.978，峰值保真=0.992。,"{""window"": 32}",0,4.410556485684868,dewow,,True
False,"{""window"": 250}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 6.986238129412913e-07, ""baseline_drop"": 0.9926275150231735, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.006312177470989852, ""low_freq_drop"": -0.03222549932084234, ""target_band_energy_ratio"": 0.9991713876757818, ""target_band_keep"": 0.9991713876757818, ""target_band_fidelity"": 0.995004161403598, ""peak_ratio"": 0.9934417260046658, ""peak_ratio_raw"": 0.9934417260046658, ""peak_fidelity"": 0.9674519761843804}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.096676497962527, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.994，低频改善=-0.084，目标频带保真=0.995，峰值保真=0.993。,"{""window"": 250}",0,4.268441968613797,dewow,,True
False,"{""window"": 250, ""_low_energy_guard"": true, ""_seed_rank"": 2}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 6.986238129412913e-07, ""baseline_drop"": 0.9926275150231735, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.006312177470989852, ""low_freq_drop"": -0.03222549932084234, ""target_band_energy_ratio"": 0.9991713876757818, ""target_band_keep"": 0.9991713876757818, ""target_band_fidelity"": 0.995004161403598, ""peak_ratio"": 0.9934417260046658, ""peak_ratio_raw"": 0.9934417260046658, ""peak_fidelity"": 0.9674519761843804}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.096676497962527, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.994，低频改善=-0.084，目标频带保真=0.995，峰值保真=0.993。,"{""window"": 250, ""_low_energy_guard"": true}",0,4.268441968613797,dewow,,True
False,"{""window"": 212, ""_low_energy_guard"": true, ""_seed_rank"": 2}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 8.933016399789352e-07, ""baseline_drop"": 0.9905731055848327, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.0062908168607031505, ""low_freq_drop"": -0.028732415243228403, ""target_band_energy_ratio"": 0.9992850960484301, ""target_band_keep"": 0.9992850960484301, ""target_band_fidelity"": 0.9956884921615798, ""peak_ratio"": 0.9924387492350693, ""peak_ratio_raw"": 0.9924387492350693, ""peak_fidelity"": 0.9625500455154435}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0861972457296852, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.987，低频改善=-0.091，目标频带保真=0.996，峰值保真=0.991。,"{""window"": 212, ""_low_energy_guard"": true}",0,4.256924298818754,dewow,,True
False,"{""window"": 175, ""_low_energy_guard"": true, ""_seed_rank"": 2}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 1.3281323757180593e-06, ""baseline_drop"": 0.9859843941677363, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.006300575173906035, ""low_freq_drop"": -0.03032818465317762, ""target_band_energy_ratio"": 0.9988961989559249, ""target_band_keep"": 0.9988961989559249, ""target_band_fidelity"": 0.993349618131217, ""peak_ratio"": 0.9911307722605189, ""peak_ratio_raw"": 0.9911307722605189, ""peak_fidelity"": 0.9561873781582584}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.09098455395953287, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.987，低频改善=-0.084，目标频带保真=0.993，峰值保真=0.991。,"{""window"": 175, ""_low_energy_guard"": true}",0,4.253307281923886,dewow,,True
False,"{""window"": 128}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 5.508124110028575e-06, ""baseline_drop"": 0.9418734925728994, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.006231838379503024, ""low_freq_drop"": -0.019087709832808577, ""target_band_energy_ratio"": 0.9985428005922614, ""target_band_keep"": 0.9985428005922614, ""target_band_fidelity"": 0.9912282155177188, ""peak_ratio"": 0.988943681813417, ""peak_ratio_raw"": 0.988943681813417, ""peak_fidelity"": 0.9456235627537882}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.05726312949842573, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.936，低频改善=-0.066，目标频带保真=0.991，峰值保真=0.989。,"{""window"": 128}",0,4.213427571933142,dewow,,True
False,"{""window"": 64}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 1.0495561774508284e-05, ""baseline_drop"": 0.8892417205475089, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.006252898911968815, ""low_freq_drop"": -0.022531722416481336, ""target_band_energy_ratio"": 0.9971039487726306, ""target_band_keep"": 0.9971039487726306, ""target_band_fidelity"": 0.9826299709927506, ""peak_ratio"": 0.9810502927110865, ""peak_ratio_raw"": 0.9810502927110865, ""peak_fidelity"": 0.908272743287227}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.067595167249444, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.890，低频改善=-0.090，目标频带保真=0.982，峰值保真=0.992。,"{""window"": 64}",0,4.00278453045789,dewow,,True
False,"{""window"": 52}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 2.6856251411465978e-05, ""baseline_drop"": 0.7165895201434453, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.005871331177709206, ""low_freq_drop"": 0.03986575402188046, ""target_band_energy_ratio"": 1.0015100316256218, ""target_band_keep"": 1.0015100316256218, ""target_band_fidelity"": 0.990925047261021, ""peak_ratio"": 0.9824272896523354, ""peak_ratio_raw"": 0.9824272896523354, ""peak_fidelity"": 0.9147019660213234}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.712，低频改善=-0.003，目标频带保真=0.991，峰值保真=0.990。,"{""window"": 52}",0,3.9324875850854144,dewow,,True
False,"{""window"": 42}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 1.026605465766167e-05, ""baseline_drop"": 0.8916636788885834, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.006826969779835797, ""low_freq_drop"": -0.116409087391237, ""target_band_energy_ratio"": 0.9885568350360724, ""target_band_keep"": 0.9885568350360724, ""target_band_fidelity"": 0.9328269467367077, ""peak_ratio"": 0.9750401279818124, ""peak_ratio_raw"": 0.9750401279818124, ""peak_fidelity"": 0.8806336118392804}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.349227262173711, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.897，低频改善=-0.130，目标频带保真=0.934，峰值保真=0.993。,"{""window"": 42}",0,3.4861185352430546,dewow,,True
False,"{""window"": 30, ""_low_energy_guard"": true, ""_seed_rank"": 1}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 6.815891722604787e-05, ""baseline_drop"": 0.2807279340075635, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.004992961809339674, ""low_freq_drop"": 0.18350481740695856, ""target_band_energy_ratio"": 1.0004452361410259, ""target_band_keep"": 1.0004452361410259, ""target_band_fidelity"": 0.9973141980000215, ""peak_ratio"": 0.9871893433171417, ""peak_ratio_raw"": 0.9871893433171417, ""peak_fidelity"": 0.9372177310676314}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.278，低频改善=0.195，目标频带保真=0.997，峰值保真=0.989。,"{""window"": 30, ""_low_energy_guard"": true}",0,3.3653703339551946,dewow,,True
False,"{""window"": 22, ""_low_energy_guard"": true, ""_seed_rank"": 1}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 0.0001081558683936086, ""baseline_drop"": -0.14135461763097174, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.013487086878758443, ""low_freq_drop"": -1.0, ""target_band_energy_ratio"": 0.9601643646414267, ""target_band_keep"": 0.9601643646414267, ""target_band_fidelity"": 0.7822329300336732, ""peak_ratio"": 0.9185034591802793, ""peak_ratio_raw"": 0.9185034591802793, ""peak_fidelity"": 0.6521345615962281}","{""baseline_regression"": 0.3533865440774293, ""low_freq_regression"": 3.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.10179815760565786}",基线改善=-0.128，低频改善=-1.000，目标频带保真=0.787，峰值保真=0.651。,"{""window"": 22, ""_low_energy_guard"": true}",0,-4.9266312265922645,dewow,,True
False,"{""window"": 14}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 0.0001737353007096506, ""baseline_drop"": -0.8334057195012375, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.0176324629917584, ""low_freq_drop"": -1.0, ""target_band_energy_ratio"": 1.016108948432683, ""target_band_keep"": 1.016108948432683, ""target_band_fidelity"": 0.9079636365359051, ""peak_ratio"": 1.09372328210356, ""peak_ratio_raw"": 1.09372328210356, ""peak_fidelity"": 0.6372920506319313}","{""baseline_regression"": 2.083514298753094, ""low_freq_regression"": 3.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.12406192405210303}",基线改善=-0.828，低频改善=-1.000，目标频带保真=0.907，峰值保真=0.968。,"{""window"": 14}",0,-8.051864373584449,dewow,,True
