constraint_adjusted,effective_params,metrics,penalties,reason,requested_params,runtime_warning_count,score,stage,trial_label,valid
False,"{""new_zero_time"": 8.383233532934131, ""_detector"": ""manual"", ""_threshold"": 0.05, ""_backup_samples"": 0, ""_zero_idx"": 6, ""_seed_rank"": 1}","{""pre_zero_energy_ratio"": 0.4014627759060892, ""first_break_std"": 0.12539721083050476, ""first_break_sharpness"": 21.523943392355427}","{""pre_zero_regression"": 1.3806176270984727, ""large_shift"": 0.0}",零时前能量=0.4016，首波离散度=0.40，锐度=5.536；检测=manual，回退样本=6。,"{""new_zero_time"": 8.383233532934131}",0,12.582203660573061,set_zero_time,,True
False,"{""new_zero_time"": 6.986027944111777, ""_detector"": ""manual"", ""_threshold"": 0.05, ""_backup_samples"": 0, ""_zero_idx"": 5, ""_seed_rank"": 1}","{""pre_zero_energy_ratio"": 0.23693813251713608, ""first_break_std"": 0.12539721083050476, ""first_break_sharpness"": 19.497217320609895}","{""pre_zero_regression"": 0.7323465775512541, ""large_shift"": 0.0}",零时前能量=0.2370，首波离散度=0.40，锐度=5.014；检测=manual，回退样本=5。,"{""new_zero_time"": 6.986027944111777}",0,12.321003676805468,set_zero_time,,True
False,"{""new_zero_time"": 5.588822355289421, ""_detector"": ""manual"", ""_threshold"": 0.05, ""_backup_samples"": 0, ""_zero_idx"": 4, ""_seed_rank"": 1}","{""pre_zero_energy_ratio"": 0.19819600005657287, ""first_break_std"": 0.0, ""first_break_sharpness"": 18.03977184070181}","{""pre_zero_regression"": 0.6513382000795678, ""large_shift"": 0.0}",零时前能量=0.1983，首波离散度=0.00，锐度=4.640；检测=manual，回退样本=4。,"{""new_zero_time"": 5.588822355289421}",0,11.497989187012875,set_zero_time,,True
False,"{""new_zero_time"": 5.0, ""_detector"": ""manual"", ""_threshold"": 0.0, ""_backup_samples"": 0, ""_zero_idx"": 4}","{""pre_zero_energy_ratio"": 0.11792359076544502, ""first_break_std"": 0.0, ""first_break_sharpness"": 17.077705209165334}","{""pre_zero_regression"": 0.3302485629150564, ""large_shift"": 0.0}",零时前能量=0.1180，首波离散度=0.00，锐度=4.390；检测=manual，回退样本=4。,"{""new_zero_time"": 5.0}",0,11.39102946079159,set_zero_time,,True
False,"{""new_zero_time"": 4.191616766467066, ""_detector"": ""manual"", ""_threshold"": 0.05, ""_backup_samples"": 0, ""_zero_idx"": 3, ""_seed_rank"": 1}","{""pre_zero_energy_ratio"": 0.050077818641426554, ""first_break_std"": 0.0, ""first_break_sharpness"": 10.134914704502538}","{""pre_zero_regression"": 0.16532917817631282, ""large_shift"": 0.0}",零时前能量=0.0501，首波离散度=0.06，锐度=2.606；检测=manual，回退样本=3。,"{""new_zero_time"": 4.191616766467066}",0,6.854601575137848,set_zero_time,,True
False,"{""new_zero_time"": 2.7944111776447107, ""_detector"": ""manual"", ""_threshold"": 0.05, ""_backup_samples"": 0, ""_zero_idx"": 2, ""_seed_rank"": 1}","{""pre_zero_energy_ratio"": 0.03151403388882115, ""first_break_std"": 0.0, ""first_break_sharpness"": 9.174439436547647}","{""pre_zero_regression"": 0.11016569921449364, ""large_shift"": 0.0}",零时前能量=0.0315，首波离散度=0.06，锐度=2.359；检测=manual，回退样本=2。,"{""new_zero_time"": 2.7944111776447107}",0,6.288669991957709,set_zero_time,,True
False,"{""new_zero_time"": 1.3972055888223553, ""_detector"": ""threshold"", ""_threshold"": 0.02, ""_backup_samples"": 2, ""_zero_idx"": 1, ""_seed_rank"": 2}","{""pre_zero_energy_ratio"": 0.001024820579688957, ""first_break_std"": 0.2794253472534049, ""first_break_sharpness"": 4.807255425680024}","{""pre_zero_regression"": 0.0, ""large_shift"": 0.0}",零时前能量=0.0010，首波离散度=0.45，锐度=1.237；检测=threshold，回退样本=1。,"{""new_zero_time"": 1.3972055888223553}",0,3.3989948455168655,set_zero_time,,True
False,"{""new_zero_time"": 0.0, ""_detector"": ""threshold"", ""_threshold"": 0.02, ""_backup_samples"": 2, ""_zero_idx"": 0, ""_first_break_std_before"": 0.0}","{""pre_zero_energy_ratio"": 0.0, ""first_break_std"": 0.0, ""first_break_sharpness"": 4.681190993410509}","{""pre_zero_regression"": 0.0, ""large_shift"": 0.0}",零时前能量=0.0000，首波离散度=0.57，锐度=1.205；检测=threshold，回退样本=0。,"{""new_zero_time"": 0.0}",0,3.312784802428621,set_zero_time,,True
False,"{""window"": 26}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 2.9732396654465525e-05, ""baseline_drop"": 0.6862379386450818, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.0038805589714670185, ""low_freq_drop"": 0.365415193033479, ""target_band_energy_ratio"": 1.0031389058992854, ""target_band_keep"": 1.0031389058992854, ""target_band_fidelity"": 0.9812432955505529, ""peak_ratio"": 0.9649605395352364, ""peak_ratio_raw"": 0.9649605395352364, ""peak_fidelity"": 0.8357957920370199}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.681，低频改善=0.407，目标频带保真=0.981，峰值保真=1.000。,"{""window"": 26}",0,4.812115321622781,dewow,,True
False,"{""window"": 26, ""_low_energy_guard"": true, ""_seed_rank"": 1}","{""baseline_bias_before"": 9.476096799616934e-05, ""baseline_bias_after"": 2.9732396654465525e-05, ""baseline_drop"": 0.6862379386450818, ""low_freq_energy_ratio_before"": 0.006115114841808286, ""low_freq_energy_ratio_after"": 0.0038805589714670185, ""low_freq_drop"": 0.365415193033479, ""target_band_energy_ratio"": 1.0031389058992854, ""target_band_keep"": 1.0031389058992854, ""target_band_fidelity"": 0.9812432955505529, ""peak_ratio"": 0.9649605395352364, ""peak_ratio_raw"": 0.9649605395352364, ""peak_fidelity"": 0.8357957920370199}","{""baseline_regression"": 0.0, ""low_freq_regression"": 0.0, ""band_distortion"": 0.0, ""peak_distortion"": 0.0}",基线改善=0.681，低频改善=0.407，目标频带保真=0.981，峰值保真=1.000。,"{""window"": 26, ""_low_energy_guard"": true}",0,4.812115321622781,dewow,,True
