base_score,ntraces,ntraces_ratio,risk_flags,safety_score,stage
-1.246579493160544,676,0.2842724978973928,"[""large_window_risk"", ""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-6.439553405572358,subtracting_average_2D
-1.2509402120690876,576,0.24222035323801513,"[""large_window_risk"", ""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-6.279227320883377,subtracting_average_2D
-1.2535860779925951,501,0.2106812447434819,"[""large_window_risk"", ""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-6.157801010354516,subtracting_average_2D
-1.2537801904914712,497,0.2089991589571068,"[""large_window_risk"", ""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-6.151414533584497,subtracting_average_2D
-1.2569294039246324,426,0.1791421362489487,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-6.037653716300739,subtracting_average_2D
-1.258822889242899,401,0.16862910008410428,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-5.999003669743027,subtracting_average_2D
-1.2646724776139913,351,0.14760302775441547,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-5.925461056147075,subtracting_average_2D
-1.2698059715004515,301,0.12657695542472666,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-5.850653919291806,subtracting_average_2D
-1.2869583030616178,201,0.08452481076534903,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.2754749027868275,subtracting_average_2D
-1.2988239648384334,151,0.06349873843566022,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.296957818592049,subtracting_average_2D
-1.3127844297036078,109,0.04583683767872161,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.322307807227724,subtracting_average_2D
-1.3187578892239753,93,0.0391084945332212,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.333159581645839,subtracting_average_2D
-1.323233360819426,81,0.03406223717409588,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.341251913310531,subtracting_average_2D
-1.323966950981923,77,0.032380151387720775,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.342566503622543,subtracting_average_2D
-1.327872125553316,69,0.029015979814970564,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.34962965937803,subtracting_average_2D
-1.336156619640115,57,0.02396972245584525,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.3646588658607595,subtracting_average_2D
-1.4151536999173988,8,0.00336417157275021,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.507958044075756,subtracting_average_2D
-1.4499297932027562,5,0.0021026072329688814,"[""saliency_loss_risk"", ""edge_loss_risk"", ""peak_suppression_risk""]",-4.571399775779506,subtracting_average_2D
-1.630876831481887,676,0.2842724978973928,"[""large_window_risk""]",-3.867966823071458,subtracting_average_2D
-1.633730088266372,576,0.24222035323801513,"[""large_window_risk""]",-3.702611501218432,subtracting_average_2D
-1.635227404143165,497,0.2089991589571068,"[""large_window_risk""]",-3.571224039971592,subtracting_average_2D
-1.635250749445858,501,0.2106812447434819,"[""large_window_risk""]",-3.5779757284197853,subtracting_average_2D
-1.6374663348228855,426,0.1791421362489487,[],-3.45403487981868,subtracting_average_2D
-1.6387453810549917,401,0.16862910008410428,[],-3.413261781391409,subtracting_average_2D
-1.6423261149038035,351,0.14760302775441547,[],-3.3327382259214655,subtracting_average_2D
-1.6464126539152533,301,0.12657695542472666,[],-3.2527204756141597,subtracting_average_2D
-1.6589401538406037,201,0.08452481076534903,[],-1.6589401538406037,subtracting_average_2D
-1.666852503084772,151,0.06349873843566022,[],-1.666852503084772,subtracting_average_2D
-1.676817863837471,109,0.04583683767872161,[],-1.676817863837471,subtracting_average_2D
-1.681504195279812,93,0.0391084945332212,[],-1.681504195279812,subtracting_average_2D
-1.683847205969415,81,0.03406223717409588,[],-1.683847205969415,subtracting_average_2D
-1.68419309901082,77,0.032380151387720775,[],-1.68419309901082,subtracting_average_2D
-1.6871876110515889,69,0.029015979814970564,[],-1.6871876110515889,subtracting_average_2D
-1.693823201146457,57,0.02396972245584525,[],-1.693823201146457,subtracting_average_2D
-1.7592864805358923,8,0.00336417157275021,[],-1.7592864805358923,subtracting_average_2D
-1.7881382295247117,5,0.0021026072329688814,[],-1.7881382295247117,subtracting_average_2D
-1.6215999686289462,407,0.17115222876366695,[],-3.4062088836836137,median_background_2D
-1.6277773120761303,347,0.14592094196804037,[],-3.311461079948292,median_background_2D
-1.6323400233566114,301,0.12657695542472666,[],-3.2386478450555183,median_background_2D
-1.6327126594119798,297,0.12489486963835156,[],-3.232292137965386,median_background_2D
-1.6384442316546604,257,0.1080740117746005,[],-3.1707402787530623,median_background_2D
-1.64571452902053,211,0.0887300252312868,[],-1.64571452902053,median_background_2D
-1.6475143890937751,201,0.08452481076534903,[],-1.6475143890937751,median_background_2D
-1.657849401402463,151,0.06349873843566022,[],-1.657849401402463,median_background_2D
-1.6712955581537383,81,0.03406223717409588,[],-1.6712955581537383,median_background_2D
-1.6775349211957873,11,0.004625735912531539,[],-1.6775349211957873,median_background_2D
-1.6793372053729891,51,0.02144659377628259,[],-1.6793372053729891,median_background_2D
-1.6818996635602357,9,0.0037846930193439865,[],-1.6818996635602357,median_background_2D
-1.6819264063751014,31,0.013036164844407064,[],-1.6819264063751014,median_background_2D
-1.6829803513213937,13,0.0054667788057190915,[],-1.6829803513213937,median_background_2D
-1.7119485742357416,7,0.002943650126156434,[],-1.7119485742357416,median_background_2D
-1.7543210068220632,5,0.0021026072329688814,[],-1.7543210068220632,median_background_2D
2.22873923322984,3,0.001261564339781329,[],2.22873923322984,running_average_2D
1.9200845778719249,5,0.0021026072329688814,[],1.9200845778719249,running_average_2D
1.8054659545134333,7,0.002943650126156434,[],1.8054659545134333,running_average_2D
1.7515711473774274,9,0.0037846930193439865,[],1.7515711473774274,running_average_2D
1.7184971224071182,11,0.004625735912531539,[],1.7184971224071182,running_average_2D
1.696363220953932,13,0.0054667788057190915,[],1.696363220953932,running_average_2D
