trial_id,artifact_id,scene_id,method,parameter_set,candidate_group,processed_output_path,metrics_schema,mae,mse,rmse,psnr,roi_energy_ratio,outside_roi_clutter_proxy,target_distortion_warning,false_enhancement_warning,runtime_seconds,warnings,selected,recommendation_label,claim_boundary
trial_003,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,mean_background_subtraction,"{""mode"": ""moving_window_mean"", ""window_size"": 5, ""axis"": ""trace""}",mean,,synthetic_paired_metrics_v1,0.011964291100524606,0.0013645776488880094,0.036940190157713174,15.05181790956213,,,False,False,0.014105900016147643,[],True,recommended,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_001,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,mean_background_subtraction,"{""mode"": ""global_mean"", ""axis"": ""trace""}",mean,,synthetic_paired_metrics_v1,0.011964291100524714,0.0013645776488880094,0.036940190157713174,15.05181790956213,,,False,False,0.0009124999633058906,[],False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_004,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,mean_background_subtraction,"{""mode"": ""moving_window_mean"", ""window_size"": 9, ""axis"": ""trace""}",mean,,synthetic_paired_metrics_v1,0.01196429110052486,0.0013645776488880094,0.036940190157713174,15.05181790956213,,,False,False,0.0010021000052802265,[],False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_005,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,mean_background_subtraction,"{""mode"": ""moving_window_mean"", ""window_size"": 15, ""axis"": ""trace""}",mean,,synthetic_paired_metrics_v1,0.011964291100525428,0.0013645776488880094,0.036940190157713174,15.05181790956213,,,False,False,0.0006244999822229147,[],False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_006,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,mean_background_subtraction,"{""mode"": ""moving_window_mean"", ""window_size"": 21, ""axis"": ""trace""}",mean,,synthetic_paired_metrics_v1,0.011964291100525586,0.0013645776488880094,0.036940190157713174,15.05181790956213,,,False,False,0.00030690000858157873,[],False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_015,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,svd_background_suppression,"{""remove_rank"": 1}",svd,,synthetic_paired_metrics_v1,0.011964291100525663,0.001364577648888009,0.03694019015771317,15.051817909562134,,,False,False,0.01977959997020662,[],False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_016,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,svd_background_suppression,"{""remove_rank"": 2}",svd,,synthetic_paired_metrics_v1,0.011964291100525678,0.001364577648888009,0.03694019015771317,15.051817909562134,,,False,False,0.005587299994658679,[],False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_017,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,svd_background_suppression,"{""remove_rank"": 3}",svd,,synthetic_paired_metrics_v1,0.01196429110052572,0.001364577648888009,0.03694019015771317,15.051817909562134,,,False,False,0.005727200012188405,[],False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_007,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,mean_background_subtraction,"{""mode"": ""moving_window_mean"", ""window_size"": 31, ""axis"": ""trace""}",mean,,synthetic_paired_metrics_v1,0.011964291100526181,0.0013645776488880096,0.03694019015771318,15.05181790956213,,,False,False,0.00029469997389242053,[],False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_008,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,mean_background_subtraction,"{""mode"": ""moving_window_mean"", ""window_size"": 41, ""axis"": ""trace""}",mean,,synthetic_paired_metrics_v1,0.011964291100526506,0.0013645776488880098,0.03694019015771318,15.05181790956213,,,False,False,0.0003179000341333449,[],False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_002,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,median_background_subtraction,"{""mode"": ""global_median"", ""axis"": ""trace""}",median,,synthetic_paired_metrics_v1,0.011964291100524571,0.0013645776488880094,0.036940190157713174,15.05181790956213,,,False,False,0.0005239999736659229,"[{""code"": ""target_to_processed_energy_ratio_denominator_zero"", ""message"": ""target_to_processed_energy_ratio denominator is zero.""}]",False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_009,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,median_background_subtraction,"{""mode"": ""moving_window_median"", ""window_size"": 5, ""axis"": ""trace""}",median,,synthetic_paired_metrics_v1,0.011964291100524571,0.0013645776488880094,0.036940190157713174,15.05181790956213,,,False,False,0.0011463999981060624,"[{""code"": ""target_to_processed_energy_ratio_denominator_zero"", ""message"": ""target_to_processed_energy_ratio denominator is zero.""}]",False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_010,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,median_background_subtraction,"{""mode"": ""moving_window_median"", ""window_size"": 9, ""axis"": ""trace""}",median,,synthetic_paired_metrics_v1,0.011964291100524571,0.0013645776488880094,0.036940190157713174,15.05181790956213,,,False,False,0.001097199972718954,"[{""code"": ""target_to_processed_energy_ratio_denominator_zero"", ""message"": ""target_to_processed_energy_ratio denominator is zero.""}]",False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
trial_011,GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic,scene_002_flat_damp_sand_pec_shallow,median_background_subtraction,"{""mode"": ""moving_window_median"", ""window_size"": 15, ""axis"": ""trace""}",median,,synthetic_paired_metrics_v1,0.011964291100524571,0.0013645776488880094,0.036940190157713174,15.05181790956213,,,False,False,0.0017249000375159085,"[{""code"": ""target_to_processed_energy_ratio_denominator_zero"", ""message"": ""target_to_processed_energy_ratio denominator is zero.""}]",False,acceptable_alternative,diagnostic-only background suppression autotune; not production scoring; not AutoTune superiority evidence; not field ground-truth correctness evidence
