site,relative_path,delimiter,header_rows,raw_shape_note,reconstructed_shape,sample_count,trace_count,time_window_ns,trace_interval_m,line_length_m_est,dtype,nan_count,inf_count,min,max,p01,p05,p50,p95,p99,orientation_note,amplitude_column_note,reconstruct_status
YingShan,Line3origin(20).csv,",",4,amp_points=987471,501x1971,501,1971,700.0,0.08802,173.3994,float64,0,0,-0.024551218,0.022988049,-0.013285567,-0.001916162,1e-09,0.0018986625,0.011254015000000048,samples_x_traces,prefers column 4 when available,success
YingShan,Line3origin(30).csv,",",4,amp_points=921840,501x1840,501,1840,700.0,0.08634,158.77926,float64,0,0,-0.057714686,0.065430462,-0.02555784544,-0.004110812899999998,1.62e-07,0.004312529249999999,0.02620390857999998,samples_x_traces,prefers column 4 when available,success
YingShan,Line3origin(36).csv,",",4,amp_points=908313,501x1813,501,1813,700.0,0.08537,154.69044,float64,0,0,-0.062927656,0.069964953,-0.02654128783999999,-0.003449282,2.2e-07,0.0034848295999999686,0.02855862560000001,samples_x_traces,prefers column 4 when available,success
YingShan,Line6origin(20).csv,",",4,amp_points=474948,501x948,501,948,700.0,0.16213,153.53710999999998,float64,0,0,-0.027779356,0.029293394,-0.01108626306,-0.00173915345,-4.3e-07,0.0015795494999999928,0.012784903939999955,samples_x_traces,prefers column 4 when available,success
YingShan,Line6origin(20)_csv_DATA.csv,",",0,,,,,,,,,,,,,,,,,,unknown,,failed
YingShan,Line6origin(30).csv,",",4,amp_points=822642,501x1642,501,1642,700.0,0.09422,154.61502,float64,0,0,-0.062533423,0.07131166,-0.02654717076,-0.004977786299999999,-2.51e-07,0.004817961799999989,0.02803671490999992,samples_x_traces,prefers column 4 when available,success
YingShan,Line6origin(36).csv,",",4,amp_points=832161,501x1661,501,1661,700.0,0.09347,155.1602,float64,0,0,-0.060610931,0.066912659,-0.0246424042,-0.003960342,1.45e-07,0.004027677,0.02614063440000004,samples_x_traces,prefers column 4 when available,success
YingShan,Line7origin(20).csv,",",4,amp_points=959916,501x1916,501,1916,700.0,0.08164,156.3406,float64,0,0,-0.027651912,0.029597979,-0.01102487035,-0.001724733,-4.15e-07,0.00156954425,0.012700498899999961,samples_x_traces,prefers column 4 when available,success
YingShan,Line7origin(30).csv,",",4,amp_points=958914,501x1914,501,1914,700.0,0.08146,155.83298000000002,float64,0,0,-0.059198141,0.068425149,-0.024264719,-0.0040300716,-1.16e-07,0.003965957399999996,0.02714151924,samples_x_traces,prefers column 4 when available,success
YingShan,Line7origin(36).csv,",",4,amp_points=828654,501x1654,501,1654,700.0,0.09427,155.82831000000002,float64,0,0,-0.058767021,0.066465221,-0.02418317645,-0.00412057405,-9e-09,0.004079948,0.02646453592999998,samples_x_traces,prefers column 4 when available,success
