selected,selection_role,site,relative_path,sample_count,trace_count,time_window_ns,trace_interval_m,line_length_m_est,p01,p05,p50,p95,p99,shallow_rms,middle_rms,deep_rms,deep_shallow_ratio,approx_db_drop,selection_reason,caution_limitation
yes,field_visual_QC,YingShan,Line3origin(20).csv,501.0,1971.0,700.0,0.08802,173.3994,-0.013285567,-0.001916162,1e-09,0.0018986625,0.011254015,0.0052863062037538,7.257405988101035e-05,1.2085822859347413e-05,0.0022862510027824,52.817521101869794,not in DS-002 selected set,raw preview only; no ground-truth claim
no,holdout,YingShan,Line3origin(30).csv,501.0,1840.0,700.0,0.08634,158.77926,-0.02555784544,-0.0041108128999999,1.62e-07,0.0043125292499999,0.0262039085799999,0.0131008685481596,0.0001113582761966,3.077033738035473e-05,0.0023487249923347,52.58335633664426,not in DS-002 selected set,raw preview only; no ground-truth claim
no,holdout,YingShan,Line3origin(36).csv,501.0,1813.0,700.0,0.08537,154.69044,-0.0265412878399999,-0.003449282,2.2e-07,0.0034848295999999,0.0285586256,0.0130440936936241,0.0001133613460152,0.0004440866924513,0.0340450400680899,29.358922987601183,not in DS-002 selected set,raw preview only; no ground-truth claim
no,holdout,YingShan,Line6origin(20).csv,501.0,948.0,700.0,0.16213,153.53710999999998,-0.01108626306,-0.00173915345,-4.3e-07,0.0015795494999999,0.0127849039399999,0.0057025954904085,5.300576399805547e-05,1.348196993842266e-05,0.0023641813558578,52.52638359321988,not in DS-002 selected set,raw preview only; no ground-truth claim
no,holdout,YingShan,Line6origin(20)_csv_DATA.csv,,,,,,,,,,,,,,,,not in DS-002 selected set,raw preview only; no ground-truth claim
no,holdout,YingShan,Line6origin(30).csv,501.0,1642.0,700.0,0.09422,154.61502,-0.02654717076,-0.0049777862999999,-2.51e-07,0.0048179617999999,0.0280367149099999,0.0133303621061581,0.0001055503996393,0.000588192216687,0.0441242489891044,27.106453453083468,not in DS-002 selected set,raw preview only; no ground-truth claim
no,holdout,YingShan,Line6origin(36).csv,501.0,1661.0,700.0,0.09347,155.1602,-0.0246424042,-0.003960342,1.45e-07,0.004027677,0.0261406344,0.0130048643951898,9.656165280196758e-05,2.734135373130172e-05,0.0021023943734018,53.54571597057334,not in DS-002 selected set,raw preview only; no ground-truth claim
no,holdout,YingShan,Line7origin(20).csv,501.0,1916.0,700.0,0.08164,156.3406,-0.01102487035,-0.001724733,-4.15e-07,0.00156954425,0.0127004988999999,0.0056697752078307,5.0019240016623096e-05,1.1087870164932382e-05,0.0019556101888516,54.17435339064807,not in DS-002 selected set,raw preview only; no ground-truth claim
no,holdout,YingShan,Line7origin(30).csv,501.0,1914.0,700.0,0.08146,155.83298000000002,-0.024264719,-0.0040300716,-1.16e-07,0.0039659573999999,0.02714151924,0.0129562980984339,0.000116427408062,2.2476467831825217e-05,0.0017347908840212,55.21505698651279,not in DS-002 selected set,raw preview only; no ground-truth claim
no,holdout,YingShan,Line7origin(36).csv,501.0,1654.0,700.0,0.09427,155.82831000000002,-0.02418317645,-0.00412057405,-9e-09,0.004079948,0.0264645359299999,0.0129889665622087,0.00011008274622,2.1787632041852866e-05,0.0016773953445413,55.50729093457496,not in DS-002 selected set,raw preview only; no ground-truth claim
yes,contrast_pair,YingShan,Line9origin(20).csv,501.0,2561.0,700.0,0.08805,225.408,-0.0127767852,-0.001917949,-9.7e-08,0.002075473,0.0114813643999998,0.0053525689748282,7.441457212286016e-05,1.8172268492336828e-05,0.0033950554542681,49.38306207466697,not in DS-002 selected set,raw preview only; no ground-truth claim
yes,contrast_pair,YingShan,Line9origin(30).csv,501.0,2383.0,700.0,0.09057,215.73774,-0.01146484182,-0.0022202739999999,2.41e-07,0.0021788710999999,0.0122548358999999,0.005532990300793,5.808841012094493e-05,1.27876254443761e-05,0.0023111599242353,52.72339935700123,not in DS-002 selected set,raw preview only; no ground-truth claim
yes,paper_figure_candidate,YingShan,Line9origin(36).csv,501.0,2378.0,700.0,0.09093,216.14061,-0.0271825639799999,-0.00420281115,-2.06e-07,0.0039640943999999,0.0301073830399998,0.0135938971645353,0.0001120076480167,2.6890359497711027e-05,0.0019781199734145,54.074947114659,not in DS-002 selected set,raw preview only; no ground-truth claim
