key,value
artifact_id,GX-006
scenario_id,gx006_layered_complex_background_v1
source_commit,a423072be4c2a9ae29708aef18e165d4c2cd053d
generation_status,complete
gprmax_version,3.1.6
domain_m,"1.20,0.60,0.002"
dx_dy_dz_m,"0.002,0.002,0.002"
trace_spacing_m,0.01
trace_count,105
sample_count,5089
time_window_ns,24.006383839438286
receiver,rx1
component,Ez
native_output_file,native/model_merged.out
native_output_hash,ed37f9daaa0e06ecc9646a454781188b140cb573e51717e81493ecd70d7c3fed
converted_csv_file,converted/data.csv
converted_csv_hash,78bc1d6639a14d4247348580b34e4c584052d52f096d10c43c635bf4179c1acd
raw_preview,figures/raw_bscan_preview.png
roi_overlay,figures/roi_overlay.png
thin_2d_limitation,true
